timestamp_s,Ia,Ib,Ic,Vdc,theta
1773984539.583735,-0.000000,0.000000,0.000000,9.970000,4.580000
1773984539.583735,-0.000000,0.000000,-0.000000,9.970000,4.580000
1773984539.600569,-0.000000,-0.000000,-0.000000,9.970000,4.580000
1773984539.600569,0.000000,-0.000000,-0.000000,9.970000,4.580000
1773984539.616454,-0.000000,-0.000000,-0.000000,9.970000,4.580000
1773984539.631509,0.000000,-0.000000,-0.000000,9.980000,4.580000
1773984539.631509,0.000000,-0.000000,0.000000,9.970000,4.580000
1773984539.647887,0.000000,-0.000000,-0.000000,9.970000,4.580000
1773984539.663468,-0.000000,-0.000000,0.000000,9.980000,4.580000
1773984539.663468,0.000000,-0.000000,0.000000,9.970000,4.580000
1773984539.679638,-0.000000,-0.000000,0.000000,9.980000,4.580000
1773984539.679638,0.000000,-0.000000,-0.000000,9.970000,4.580000
1773984539.693347,0.000000,-0.000000,0.000000,9.970000,4.580000
1773984539.712363,0.000000,-0.000000,0.000000,9.980000,4.580000
1773984539.712363,0.000000,-0.000000,0.000000,9.970000,4.580000
1773984539.727743,0.000000,-0.000000,-0.000000,9.970000,4.580000
1773984539.739976,-0.000000,-0.000000,0.000000,9.980000,4.580000
1773984539.739976,-0.000000,0.000000,-0.000000,9.970000,4.580000
1773984539.756001,-0.000000,0.000000,-0.000000,9.970000,4.580000
1773984539.756001,-0.000000,0.000000,-0.000000,9.970000,4.580000
1773984539.775596,0.000000,-0.000000,-0.000000,9.970000,4.580000
1773984539.792135,-0.000000,0.000000,0.000000,9.970000,4.580000
1773984539.792135,0.000000,-0.000000,0.000000,9.970000,4.580000
1773984539.811543,-0.000000,-0.000000,-0.000000,9.970000,4.580000
1773984539.824002,0.000000,-0.000000,-0.000000,9.970000,4.580000
1773984539.824002,0.000000,-0.000000,-0.000000,9.970000,4.580000
1773984539.839867,-0.000000,0.000000,0.000000,9.970000,4.580000
1773984539.839867,-0.000000,-0.000000,0.000000,9.980000,4.580000
1773984539.855905,0.000000,-0.000000,-0.000000,9.970000,4.580000
1773984539.877343,-0.000000,-0.000000,0.000000,9.970000,4.580000
1773984539.877343,-0.000000,-0.000000,-0.000000,9.970000,4.580000
1773984539.887881,-0.000000,-0.000000,0.000000,9.970000,4.580000
1773984539.904505,-0.000000,0.000000,-0.000000,9.970000,4.580000
1773984539.904505,-0.000000,-0.000000,0.000000,9.970000,4.580000
1773984539.920175,0.000000,-0.000000,0.000000,9.970000,4.580000
1773984539.920175,-0.000000,-0.000000,0.000000,9.980000,4.580000
1773984539.940647,0.000000,-0.000000,0.000000,9.970000,4.580000
1773984539.952154,-0.000000,-0.000000,0.000000,9.970000,4.580000
1773984539.952154,-0.000000,0.000000,-0.000000,9.950000,4.580000
1773984539.968363,-0.000000,0.000000,-0.000000,9.950000,4.580000
1773984539.981263,-0.000000,0.000000,0.000000,9.970000,4.580000
1773984539.981263,-0.000000,0.000000,0.000000,9.970000,4.580000
1773984539.992536,0.000000,-0.000000,0.000000,9.970000,4.580000
1773984539.992536,-0.000000,0.000000,-0.000000,9.950000,4.580000
1773984540.015923,-0.000000,0.000000,0.000000,9.970000,4.580000
1773984540.031656,0.000000,-0.000000,0.000000,9.970000,4.580000
1773984540.031656,0.000000,-0.000000,-0.000000,9.970000,4.580000
1773984540.045304,0.000000,-0.000000,0.000000,9.980000,4.580000
1773984540.064828,-0.000000,0.000000,0.000000,9.980000,4.580000
1773984540.064828,-0.000000,0.000000,-0.000000,9.970000,4.580000
1773984540.079915,-0.000000,-0.000000,0.000000,9.970000,4.580000
1773984540.079915,0.000000,-0.000000,0.000000,9.980000,4.580000
1773984540.096587,-0.000000,-0.000000,0.000000,9.970000,4.580000
1773984540.111838,0.000000,-0.000000,0.000000,9.970000,4.580000
1773984540.111838,0.000000,-0.000000,0.000000,9.970000,4.580000
1773984540.133229,0.000000,-0.000000,-0.000000,9.970000,4.580000
1773984540.136656,0.000000,-0.000000,-0.000000,9.950000,4.580000
1773984540.136656,0.000000,-0.000000,0.000000,9.980000,4.580000
1773984540.159797,-0.000000,0.000000,0.000000,9.970000,4.580000
1773984540.159797,-0.000000,-0.000000,0.000000,9.980000,4.580000
1773984540.178766,-0.000000,0.000000,-0.000000,9.980000,4.580000
1773984540.194849,-0.000000,-0.000000,0.000000,9.980000,4.580000
1773984540.194849,-0.000000,0.000000,-0.000000,9.970000,4.580000
1773984540.208318,0.000000,-0.000000,-0.000000,9.970000,4.580000
1773984540.223641,0.000000,-0.000000,-0.000000,9.950000,4.580000
