timestamp_s,Ia,Ib,Ic,Vdc,theta
1773986621.478538,-0.000000,0.000000,-0.000000,3.180000,5.910000
1773986621.478538,0.050000,-0.090000,0.050000,4.790000,5.920000
1773986621.478538,-0.000000,-0.010000,0.010000,4.670000,5.930000
1773986621.478538,-0.000000,0.000000,-0.000000,2.660000,5.930000
1773986621.478538,0.030000,-0.050000,0.030000,6.130000,5.940000
1773986621.478538,-0.000000,0.000000,-0.000000,4.000000,5.950000
1773986621.478538,0.040000,-0.080000,0.020000,2.530000,5.950000
1773986621.478538,0.020000,-0.050000,0.020000,5.550000,5.960000
1773986621.478538,-0.000000,0.000000,-0.000000,3.470000,5.960000
1773986621.478538,0.040000,-0.080000,0.050000,3.260000,5.970000
1773986621.478538,0.010000,-0.030000,0.020000,5.050000,5.980000
1773986621.478538,-0.000000,0.000000,-0.000000,2.970000,5.980000
1773986621.478538,0.060000,-0.120000,0.050000,5.590000,5.990000
1773986621.478538,-0.000000,0.000000,-0.000000,4.450000,6.000000
1773986621.478538,-0.000000,0.000000,-0.000000,2.530000,6.000000
1773986621.478538,0.020000,-0.050000,0.030000,5.950000,6.010000
1773986621.491220,-0.000000,0.000000,-0.000000,3.890000,6.020000
1773986621.491220,0.040000,-0.090000,0.020000,2.570000,6.020000
1773986621.491220,0.020000,-0.050000,0.020000,5.480000,6.030000
1773986621.491220,-0.000000,0.000000,-0.000000,3.420000,6.030000
1773986621.491220,0.040000,-0.090000,0.040000,3.450000,6.040000
1773986621.491220,0.010000,-0.030000,0.010000,4.940000,6.050000
1773986621.491220,-0.000000,0.000000,-0.000000,2.880000,6.050000
1773986621.491220,0.020000,-0.050000,0.050000,5.900000,6.060000
1773986621.491220,-0.000000,0.000000,-0.000000,4.360000,6.070000
1773986621.491220,-0.000000,0.000000,-0.000000,2.480000,6.070000
1773986621.491220,0.020000,-0.050000,0.030000,5.860000,6.080000
1773986621.491220,-0.000000,0.000000,-0.000000,3.730000,6.080000
1773986621.491220,0.050000,-0.110000,0.050000,2.790000,6.090000
1773986621.491220,0.020000,-0.040000,0.020000,5.190000,6.100000
1773986621.491220,-0.000000,0.000000,-0.000000,3.080000,6.100000
1773986621.491220,0.040000,-0.090000,0.050000,5.340000,6.110000
1773986621.522515,-0.000000,-0.000000,0.000000,4.520000,6.120000
1773986621.522515,-0.000000,0.000000,-0.000000,2.550000,6.120000
1773986621.522515,0.020000,-0.050000,0.030000,5.990000,6.130000
1773986621.522515,-0.000000,0.000000,-0.000000,3.870000,6.130000
1773986621.522515,0.050000,-0.100000,0.030000,2.620000,6.140000
1773986621.522515,0.020000,-0.040000,0.020000,5.410000,6.150000
1773986621.522515,-0.000000,0.000000,-0.000000,3.330000,6.150000
1773986621.522515,0.050000,-0.090000,0.040000,4.120000,6.160000
1773986621.522515,0.010000,-0.020000,0.010000,4.880000,6.170000
1773986621.522515,-0.000000,0.000000,-0.000000,2.910000,6.170000
1773986621.522515,0.030000,-0.060000,0.050000,5.680000,6.180000
1773986621.522515,-0.000000,0.000000,-0.000000,4.400000,6.180000
1773986621.522515,0.010000,-0.020000,-0.000000,2.550000,6.190000
1773986621.522515,0.020000,-0.050000,0.030000,5.860000,6.200000
1773986621.522515,-0.000000,0.000000,-0.000000,3.690000,6.200000
1773986621.522515,0.060000,-0.120000,0.050000,3.260000,6.210000
1773986621.538287,0.020000,-0.040000,0.020000,5.170000,6.220000
1773986621.538287,-0.000000,0.000000,-0.000000,3.180000,6.220000
1773986621.538287,0.070000,-0.150000,0.090000,5.080000,6.230000
1773986621.538287,0.010000,-0.020000,0.010000,4.830000,6.240000
1773986621.538287,-0.000000,0.000000,-0.000000,3.000000,6.240000
1773986621.538287,0.050000,-0.130000,0.090000,5.480000,6.250000
1773986621.538287,-0.000000,-0.010000,0.000000,4.630000,6.250000
1773986621.538287,-0.000000,0.000000,-0.000000,2.930000,6.260000
1773986621.538287,0.030000,-0.080000,0.080000,5.810000,6.270000
1773986621.538287,-0.000000,0.000000,-0.000000,4.380000,6.270000
1773986621.538287,0.040000,-0.080000,0.000000,2.840000,6.280000
1773986621.538287,0.030000,-0.050000,0.030000,5.950000,0.000000
1773986621.538287,-0.000000,0.000000,-0.000000,3.940000,0.010000
1773986621.538287,0.060000,-0.140000,0.070000,3.290000,0.010000
1773986621.538287,0.020000,-0.040000,0.020000,5.540000,0.020000
1773986621.538287,-0.000000,0.000000,-0.000000,3.530000,0.030000
1773986621.586409,0.080000,-0.180000,0.090000,4.590000,0.030000
1773986621.586409,0.010000,-0.020000,0.010000,5.050000,0.040000
1773986621.586409,-0.000000,0.000000,-0.000000,3.090000,0.050000
1773986621.586409,0.070000,-0.160000,0.100000,5.540000,0.050000
1773986621.586409,-0.000000,0.000000,-0.000000,4.490000,0.060000
1773986621.586409,0.060000,-0.100000,0.010000,2.910000,0.070000
1773986621.586409,0.030000,-0.050000,0.030000,5.970000,0.070000
1773986621.586409,-0.000000,0.000000,-0.000000,3.850000,0.080000
1773986621.586409,0.070000,-0.170000,0.100000,4.050000,0.080000
1773986621.586409,0.020000,-0.050000,0.020000,5.340000,0.090000
1773986621.586409,-0.000000,0.000000,-0.000000,3.270000,0.100000
1773986621.586409,0.080000,-0.210000,0.120000,5.260000,0.100000
1773986621.586409,-0.000000,-0.010000,0.010000,4.680000,0.110000
1773986621.586409,0.030000,-0.010000,-0.000000,2.910000,0.120000
1773986621.586409,0.030000,-0.120000,0.080000,5.910000,0.120000
1773986621.586409,-0.000000,0.000000,-0.000000,3.980000,0.130000
1773986621.586409,0.080000,-0.170000,0.100000,3.780000,0.130000
1773986621.586409,0.020000,-0.050000,0.030000,5.430000,0.140000
1773986621.586409,-0.000000,0.000000,-0.000000,3.330000,0.150000
1773986621.586409,0.090000,-0.210000,0.120000,5.210000,0.150000
1773986621.586409,-0.000000,-0.020000,0.010000,4.760000,0.160000
1773986621.586409,0.030000,-0.000000,-0.000000,2.950000,0.170000
